id,product,msrp,dept,description,thumb,vendor
1,Ring Light,568.66,8,"This Ring Light is perfect for creating a professional-looking lighting setup for your photography or videography projects. The adjustable brightness, colors, and temperature on the light will allow you to customize the light for any situation. The sturdy and lightweight design allows for easy setup and transport, making this an ideal light for any photographer or videographer.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,660e5be3-1eb5-40d4-bb3a-d5aceb0169d0
2,Wireless Charger,275.17,8,"The Wireless Charger is a convenient and efficient way to charge your mobile devices without the need for cables or cords. This device uses a Qi induction-based charging technology to wirelessly transfer energy to your phone or tablet, allowing you to quickly and easily charge your device on the go. It is compatible with most modern smartphones and tablets, and is designed with safety in mind, with multiple protection layers to keep your device safe while charging.",http://dummyimage.com/250x250.png/cc0000/ffffff,28293e64-b077-495a-9571-9114853d9fd4
3,Notebook,492.14,23,"The Notebook is the perfect tool for taking notes and staying organized. It's lightweight and portable, making it ideal for school, work, or home use. It features a classic spiral binding, lined pages, and sturdy cover. It's perfect for keeping track of important notes, ideas, and to-do lists.",http://dummyimage.com/250x250.png/cc0000/ffffff,a9465726-600c-40f6-8703-2b35c63fe26a
4,Snowglobe,589.83,21,"A Snowglobe is a decorative item that contains a miniature winter scene inside a sealed glass dome. It usually contains a small house or other structure, trees, and sometimes figures of animals or people. When the globe is shaken, it creates a snowfall effect with the white flakes. It is a festive and whimsical item to bring a bit of winter cheer to any space.",http://dummyimage.com/250x250.png/dddddd/000000,60949481-739b-4ff4-992e-af360c977755
5,Picture Frame,243.66,21,"This classic wooden picture frame is perfect for displaying your favorite memories. Its sleek design and neutral finish will look great in any room. The frame is lightweight and easy to hang, and it is constructed from durable wood for lasting quality.",http://dummyimage.com/250x250.png/cc0000/ffffff,304ed7f9-da38-4e8e-a344-d3128f03757f
6,AA Battery,498.0,7,"AA Battery is a long-lasting and reliable battery that is perfect for powering a variety of electronic devices. It is capable of providing a steady and consistent source of power for a long period of time. The battery is also lightweight, making it easy to transport and store. It is ideal for use in electronics such as toys, radios, flashlights, and other small appliances.",http://dummyimage.com/250x250.png/cc0000/ffffff,951d32f1-2118-4237-a7a6-6e7d62df03f4
7,AAA Battery,203.02,7,"AAA batteries are small, light-weight batteries that are commonly used in electronic devices such as remote controls, toys, and flashlights. They are often used as a primary power source for small devices, and are available in many different sizes and capacities. These batteries are easy to replace and maintain, making them an ideal choice for everyday use.",http://dummyimage.com/250x250.png/cc0000/ffffff,649e5207-2f58-44ae-9438-805e9cdfd565
8,9V Battery,407.85,7,"A 9V alkaline battery that is designed to provide reliable, long-lasting power for a variety of electronic devices such as smoke detectors, portable radios, toys and more. It features a durable design that allows it to be stored for up to 10 years and provides up to 550mAh of power.",http://dummyimage.com/250x250.png/dddddd/000000,660e5be3-1eb5-40d4-bb3a-d5aceb0169d0
9,Facial Tissues,241.37,19,"Facial Tissues are soft, absorbent tissues that are designed specifically for use on the face. They are gentle on the skin and provide a comfortable, hygienic way to remove makeup, cleanse, and moisturize the face. They come in a variety of sizes and designs and are perfect for everyday use.",http://dummyimage.com/250x250.png/5fa2dd/ffffff,34095b1b-54d8-4dfd-a2d2-69c541f12a02
10,Toilet Paper,264.15,20,"Soft and strong two-ply toilet paper that provides comfort and long-lasting convenience. This product has been designed to be both gentle on the skin and effective at cleaning up bathroom messes. It is made from recycled materials and is chlorine-free, making it an environmentally-friendly choice for your home.",http://dummyimage.com/250x250.png/cc0000/ffffff,649e5207-2f58-44ae-9438-805e9cdfd565
11,Paper Towels,365.78,20,"Paper Towels are absorbent towels made from paper. They are typically used for cleaning and drying and can be used for a variety of cleaning tasks. They are generally disposable, highly absorbent and come in a variety of sizes, making them a perfect choice for any cleaning job.",http://dummyimage.com/250x250.png/cc0000/ffffff,cc095fc2-c2e6-42bb-9f33-00b97679d7cf
